Time [s],Value,Parity Error,Framing Error
1.258413220000000,],,Error
1.259470360000000,N,,Error
1.260559540000000,\x13,,
1.261552600000000,u,,Error
1.262577720000000,!,,Error
1.263602820000000,\xF9,,
1.264627920000000,6,,Error
1.265717100000000,\xBF,,Error
1.266742200000000,\xE5,,Error
1.267927480000000,\x03,,
1.268920540000000,\xE7,,Error
1.269945640000000,\x84,,Error
1.270970760000000,\xD9,,Error
1.272091960000000,\t,,Error
1.273149100000000,M,,
