name,start_time,duration,"data"
"Async Serial",0.9252549,0.00030436,"3"
"Async Serial",0.92557524,0.00030436,"e"
"Async Serial",0.92589558,0.00030436,"d"
"Async Serial",0.92621592,0.00030436,"c"
"Async Serial",0.92653628,0.00030436,"3"
"Async Serial",0.92685662,0.00030436,"6"
"Async Serial",0.92717696,0.00030436,"3"
"Async Serial",0.9274973,0.00030436,"f"
"Async Serial",0.92781764,0.00030436,"8"
"Async Serial",0.928138,0.00030436,"0"
"Async Serial",0.92845834,0.00030436,"2"
"Async Serial",0.92877868,0.00030436,"a"
"Async Serial",0.92909902,0.00030436,"e"
"Async Serial",0.92941938,0.00030436,"5"
"Async Serial",0.92973972,0.00030436,"a"
"Async Serial",0.93006006,0.00030436,"b"
"Async Serial",0.9303804,0.00030436,"d"
"Async Serial",0.93070076,0.00030436,"d"
"Async Serial",0.9310211,0.00030436,"1"
"Async Serial",0.93134144,0.00030436,"6"
"Async Serial",0.93166178,0.00030436,"1"
"Async Serial",0.93198212,0.00030436,"c"
"Async Serial",0.93230248,0.00030436,"4"
"Async Serial",0.93262282,0.00030436,"f"
"Async Serial",0.93294316,0.00030436,"4"
"Async Serial",0.9332635,0.00030436,"2"
"Async Serial",0.93358386,0.00030436,"1"
"Async Serial",0.9339042,0.00030436,"c"
"Async Serial",0.93422454,0.00030436,"a"
"Async Serial",0.93454488,0.00030436,"4"
"Async Serial",0.93486522,0.00030436,"9"
"Async Serial",0.93518558,0.00030436,"a"
"Async Serial",0.93550592,0.00030436,"7"
"Async Serial",0.93582626,0.00030436,"\n"
"Async Serial",0.9361466,0.00030436,"\n"
"Async Serial",0.93646696,0.00030436,"["
"Async Serial",0.9367873,0.00030436,"M"
"Async Serial",0.93710764,0.00030436,"S"
"Async Serial",0.93742798,0.00030436,"G"
"Async Serial",0.93774832,0.00030436,"]"
"Async Serial",0.93806868,0.00030436," "
"Async Serial",0.93838902,0.00030436,"A"
"Async Serial",0.93870936,0.00030436,"c"
"Async Serial",0.9390297,0.00030436,"t"
"Async Serial",0.93935006,0.00030436,"i"
"Async Serial",0.9396704,0.00030436,"v"
"Async Serial",0.93999074,0.00030436,"i"
"Async Serial",0.94031108,0.00030436,"t"
"Async Serial",0.94063144,0.00030436,"y"
"Async Serial",0.94095178,0.00030436," "
"Async Serial",0.94127212,0.00030436,"f"
"Async Serial",0.94159246,0.00030436,"r"
"Async Serial",0.9419128,0.00030436,"o"
"Async Serial",0.94223316,0.00030436,"m"
"Async Serial",0.9425535,0.00030436,":"
"Async Serial",0.94287384,0.00030436," "
"Async Serial",0.94319418,0.00030436,"6"
"Async Serial",0.94351454,0.00030436,"5"
"Async Serial",0.94383488,0.00030436,"e"
"Async Serial",0.94415522,0.00030436,"c"
"Async Serial",0.94447556,0.00030436,"3"
"Async Serial",0.9447959,0.00030436,"1"
"Async Serial",0.94511626,0.00030436,"2"
"Async Serial",0.9454366,0.00030436,"3"
"Async Serial",0.94575694,0.00030436,"2"
"Async Serial",0.94607728,0.00030436,"5"
"Async Serial",0.94639764,0.00030436,"f"
"Async Serial",0.94671798,0.00030436,"4"
"Async Serial",0.94703832,0.00030436,"3"
"Async Serial",0.94735866,0.00030436,"f"
"Async Serial",0.947679,0.00030436,"4"
"Async Serial",0.94799936,0.00030436,"0"
"Async Serial",0.9483197,0.00030436,"1"
"Async Serial",0.94864004,0.00030436,"0"
"Async Serial",0.94896038,0.00030436,"7"
"Async Serial",0.94928074,0.00030436,"d"
"Async Serial",0.94960108,0.00030436,"f"
"Async Serial",0.94992142,0.00030436,"c"
"Async Serial",0.95024176,0.00030436,"b"
"Async Serial",0.9505621,0.00030436,"a"
"Async Serial",0.95088246,0.00030436,"6"
"Async Serial",0.9512028,0.00030436,"5"
"Async Serial",0.95152314,0.00030436,"1"
"Async Serial",0.95184348,0.00030436,"c"
"Async Serial",0.95216384,0.00030436,"a"
"Async Serial",0.95248418,0.00030436,"b"
"Async Serial",0.95280452,0.00030436,"2"
"Async Serial",0.95312486,0.00030436,"d"
"Async Serial",0.9534452,0.00030436,"1"
"Async Serial",0.95376556,0.00030436,"a"
"Async Serial",0.9540859,0.00030436,"f"
"Async Serial",0.95440624,0.00030436,"b"
"Async Serial",0.95472658,0.00030436,"6"
"Async Serial",0.95504694,0.00030436,"d"
"Async Serial",0.95536728,0.00030436,"f"
"Async Serial",0.95568762,0.00030436,"5"
"Async Serial",0.95600796,0.00030436,"4"
"Async Serial",0.95632832,0.00030436,"5"
"Async Serial",0.95664866,0.00030436,"7"
"Async Serial",0.956969,0.00030436,"8"
"Async Serial",0.95728934,0.00030436,"0"
"Async Serial",0.95760968,0.00030436,"6"
"Async Serial",0.95793004,0.00030436,"5"
"Async Serial",0.95825038,0.00030436,"f"
"Async Serial",0.95857072,0.00030436,"1"
"Async Serial",0.95889106,0.00030436,"d"
"Async Serial",0.95921142,0.00030436,"8"
"Async Serial",0.95953176,0.00030436,"b"
"Async Serial",0.9598521,0.00030436,"b"
"Async Serial",0.96017244,0.00030436,"a"
"Async Serial",0.96049278,0.00030436,"8"
"Async Serial",0.96081314,0.00030436,"9"
"Async Serial",0.96113348,0.00030436,"8"
"Async Serial",0.96145382,0.00030436,"0"
"Async Serial",0.96177416,0.00030436,"1"
"Async Serial",0.96209452,0.00030436,"d"
"Async Serial",0.96241486,0.00030436,"3"
"Async Serial",0.9627352,0.00030436,"e"
"Async Serial",0.96305554,0.00030436,"f"
"Async Serial",0.9633759,0.00030436,"2"
"Async Serial",0.96369624,0.00030436,"\n"
"Async Serial",0.96401658,0.00030436,"\n"
"Async Serial",0.96433692,0.00030436,"["
"Async Serial",0.96465726,0.00030436,"M"
"Async Serial",0.96497762,0.00030436,"S"
"Async Serial",0.96529796,0.00030436,"G"
"Async Serial",0.9656183,0.00030436,"]"
"Async Serial",0.96593864,0.00030436," "
"Async Serial",0.96625898,0.00030436,"A"
"Async Serial",0.96657934,0.00030436,"c"
"Async Serial",0.96689968,0.00030436,"t"
"Async Serial",0.96722002,0.00030436,"i"
"Async Serial",0.96754036,0.00030436,"v"
"Async Serial",0.96786072,0.00030436,"i"
"Async Serial",0.96818106,0.00030436,"t"
"Async Serial",0.9685014,0.00030436,"y"
"Async Serial",0.96882174,0.00030436," "
"Async Serial",0.96914208,0.00030436,"f"
"Async Serial",0.96946244,0.00030436,"r"
"Async Serial",0.96978278,0.00030436,"o"
"Async Serial",0.97010312,0.00030436,"m"
"Async Serial",0.97042346,0.00030436,":"
"Async Serial",0.97074382,0.00030436," "
"Async Serial",0.97106416,0.00030436,"2"
"Async Serial",0.9713845,0.00030436,"2"
"Async Serial",0.97170484,0.00030436,"3"
"Async Serial",0.9720252,0.00030436,"e"
"Async Serial",0.97234554,0.00030436,"6"
"Async Serial",0.97266588,0.00030436,"3"
"Async Serial",0.97298622,0.00030436,"4"
"Async Serial",0.97330656,0.00030436,"c"
"Async Serial",0.97362692,0.00030436,"e"
"Async Serial",0.97394726,0.00030436,"a"
"Async Serial",0.9742676,0.00030436,"2"
"Async Serial",0.97458794,0.00030436,"0"
"Async Serial",0.9749083,0.00030436,"3"
"Async Serial",0.97522864,0.00030436,"b"
"Async Serial",0.97554898,0.00030436,"a"
"Async Serial",0.97586932,0.00030436,"2"
"Async Serial",0.97618966,0.00030436,"c"
"Async Serial",0.97651002,0.00030436,"7"
"Async Serial",0.97683036,0.00030436,"d"
"Async Serial",0.9771507,0.00030436,"4"
"Async Serial",0.97747104,0.00030436,"e"
"Async Serial",0.9777914,0.00030436,"7"
"Async Serial",0.97811174,0.00030436,"9"
"Async Serial",0.97843208,0.00030436,"3"
"Async Serial",0.97875242,0.00030436,"1"
"Async Serial",0.97907278,0.00030436,"a"
"Async Serial",0.97939312,0.00030436,"2"
"Async Serial",0.97971346,0.00030436,"d"
"Async Serial",0.9800338,0.00030436,"a"
"Async Serial",0.98035414,0.00030436,"f"
"Async Serial",0.9806745,0.00030436,"d"
"Async Serial",0.98099484,0.00030436,"f"
"Async Serial",0.98131518,0.00030436,"0"
"Async Serial",0.98163552,0.00030436,"d"
"Async Serial",0.98195588,0.00030436,"4"
"Async Serial",0.98227622,0.00030436,"5"
"Async Serial",0.98259656,0.00030436,"2"
"Async Serial",0.9829169,0.00030436,"3"
"Async Serial",0.98323726,0.00030436,"0"
"Async Serial",0.9835576,0.00030436,"9"
"Async Serial",0.98387794,0.00030436,"c"
"Async Serial",0.98419828,0.00030436,"1"
"Async Serial",0.98451862,0.00030436,"a"
"Async Serial",0.98483898,0.00030436,"1"
"Async Serial",0.98515932,0.00030436,"e"
"Async Serial",0.98547966,0.00030436,"b"
"Async Serial",0.9858,0.00030436,"1"
"Async Serial",0.98612034,0.00030436,"a"
"Async Serial",0.9864407,0.00030436,"2"
"Async Serial",0.98676104,0.00030436,"8"
"Async Serial",0.98708138,0.00030436,"f"
"Async Serial",0.98740172,0.00030436,"c"
"Async Serial",0.98772208,0.00030436,"2"
"Async Serial",0.98804242,0.00030436,"f"
"Async Serial",0.98836276,0.00030436,"a"
"Async Serial",0.9886831,0.00030436,"e"
"Async Serial",0.98900344,0.00030436,"0"
"Async Serial",0.9893238,0.00030436,"5"
"Async Serial",0.98964414,0.00030436,"7"
"Async Serial",0.98996448,0.00030436,"d"
"Async Serial",0.99028482,0.00030436,"f"
"Async Serial",0.99060518,0.00030436,"4"
"Async Serial",0.99092552,0.00030436,"0"
"Async Serial",0.99124586,0.00030436,"0"
"Async Serial",0.9915662,0.00030436,"\n"
